"pctgood","acres","exval","occupancy","location"
NA,"3.8",NA,NA,"51 SOUTH END RD"
NA,"1.7",NA,NA,"75 SOUTH END RD"
"73","0.25","3400","1","199 SOUTH END RD"
"77","0.18",NA,"1","11 URIAH ST"
"73","0.36",NA,"1","181 SOUTH END RD"
"63","0.32",NA,"1","169 SOUTH END RD"
"77","0.35",NA,"1","173 SOUTH END RD"
"63","0.17",NA,"1","165 SOUTH END RD"
"63","0.14",NA,"1","161 SOUTH END RD"
"63","0.2",NA,"1","157 SOUTH END RD"
NA,"0.24",NA,NA,"153 SOUTH END RD"
NA,"0.09",NA,NA,"SOUTH END RD"
NA,"0.43",NA,NA,"107 SOUTH END RD"
NA,"0.14",NA,NA,"101 SOUTH END RD"
NA,"0.26",NA,NA,"95 SOUTH END RD"
NA,"0.03",NA,NA,"SOUTH END RD"
NA,"0.43",NA,NA,"91 SOUTH END RD"
NA,"0.29",NA,NA,"103 SOUTH END RD"
NA,"0.99",NA,NA,"SOUTH END RD"
NA,"8.05",NA,NA,"URIAH ST"
NA,"1",NA,NA,"SOUTH END RD"
NA,"2.5",NA,NA,"SOUTH END RD"
"68","0.16","3200","1","5 DOUGLASS AV"
"75","0.13","3500","1","11 DOUGLASS AV"
"65","0.13",NA,"1","17 DOUGLASS AV"
"65","0.13",NA,"1","23 DOUGLASS AV"
"63","0.12",NA,"1","29 DOUGLASS AV"
NA,"0.27",NA,NA,"32 URIAH ST"
"71","0.13",NA,"1","24 URIAH ST"
"65","0.13",NA,"1","20 URIAH ST"
"68","0.18","3200","1","1 TOWNSEND AV"
"68","0.19","3200","1","1 TOWNSEND AV #A"
"78","0.19","3700","1","1 TOWNSEND AV #B"
"78","0.12",NA,"1","9 TOWNSEND AV"
"63","0.29",NA,"1","17 JOHNSTON ST"
"73","0.14","3400","1","30 DOUGLASS AV"
"75","0.14","3500","1","24 DOUGLASS AV"
"65","0.14",NA,"1","20 DOUGLASS AV"
"78","0.28",NA,"2","3 TOWNSEND AV"
"68","0.16",NA,"1","3A TOWNSEND AV"
"78","0.15",NA,"1","5 TOWNSEND AV"
"78","0.14",NA,"1","7 TOWNSEND AV"
NA,"10",NA,NA,"MORRIS CSWY"
NA,"18.08",NA,NA,"URIAH ST"
NA,"0.18",NA,NA,"MORRIS CSWY"
"68","0.44",NA,"1","25 TOWNSEND AV"
"63","0.22",NA,"1","19 MORRIS CSWY"
"63","0.26","3000","1","25 MORRIS CSWY"
"63","0.34","3000","1","31 MORRIS CSWY"
"63","0.23","3000","1","39 MORRIS CSWY"
"73","0.24",NA,"1","43 MORRIS CSWY"
"95","0.22","6600","1","49 MORRIS CSWY"
"73","0.26","3400","1","11 TOWNSEND AV"
"71","0.23","3300","1","13 TOWNSEND AV"
"73","0.3","3400","1","15 TOWNSEND AV"
"63","0.15","3000","1","17 TOWNSEND AV"
"73","0.14","3400","2","19 TOWNSEND AV"
"73","0.14","3400","2","21 TOWNSEND AV"
NA,"0.07",NA,NA,"1209 DEAN ST"
NA,"0.03",NA,NA,"1227 DEAN ST"
NA,"0.03",NA,NA,"1237 DEAN ST"
NA,"0.03",NA,NA,"1251 DEAN ST"
NA,"0.03",NA,NA,"DEAN ST"
NA,"0.04",NA,NA,"1271 DEAN ST"
NA,"0.02",NA,NA,"DEAN ST"
NA,"0.02",NA,NA,"1285 DEAN ST"
NA,"0.12",NA,NA,"1305 DEAN ST"
NA,"0.12",NA,NA,"1327 DEAN ST"
"65","0","34600","1","191 BURR ST"
NA,"1.21",NA,NA,"269 BURR ST"
NA,"2.61",NA,NA,"353 BURR ST"
NA,"3.88",NA,NA,"425 DODGE AV"
NA,"0.01",NA,NA,"392 BURR ST"
NA,"0.62",NA,NA,"400 BURR ST #1"
NA,"0.34",NA,NA,"400 BURR ST #2"
NA,"0.41",NA,NA,"400 BURR ST #3"
"84","0.62","3900","1","396 BURR ST #4"
"90","0.35",NA,"1","400 BURR ST #5"
"90","0.19",NA,"1","400 BURR ST #6"
"94","0.24",NA,"1","400 BURR ST #7"
"90","0.31",NA,"1","400 BURR ST #8"
"90","0.42",NA,"1","400 BURR ST #9"
"58","0.18",NA,"1","392 BURR ST"
"58","0.24",NA,"1","384 BURR ST"
"58","0.24",NA,"1","374 BURR ST"
"58","0.24",NA,"1","366 BURR ST"
"68","0.27",NA,"1","360 BURR ST"
"58","0.24",NA,"1","354 BURR ST"
"68","0.24",NA,"1","348 BURR ST"
NA,"0.04",NA,NA,"344 BURR ST"
NA,"0.73",NA,NA,"342 BURR ST"
"56","0.21",NA,"1","340 BURR ST"
"68","0.25","3200","1","336 BURR ST"
"58","0.25",NA,"1","330 BURR ST"
"58","0.25",NA,"1","320 BURR ST"
"58","0.2",NA,"1","310 BURR ST"
"68","0.19","3200","1","175 TOWNSEND TER"
"72","0.25","3400","1","155 TOWNSEND TER"
"78","0.29","3700","1","147 TOWNSEND TER"
"68","0.39",NA,"1","135 TOWNSEND TER"
"78","0.17","3700","1","215 HYDE ST"
"72","0.17",NA,"1","223 HYDE ST"
"68","0.25",NA,"1","235 HYDE ST"
"68","0.17","3200","1","118 TOWNSEND TER"
"68","0.33",NA,"1","126 TOWNSEND TER"
"68","0.33",NA,"1","132 TOWNSEND TER"
"68","0.37",NA,"1","140 TOWNSEND TER"
"68","0.44","3200","1","144 TOWNSEND TER"
"68","0.38","3200","1","150 TOWNSEND TER"
"78","0.26","3700","1","158 TOWNSEND TER"
"91","0.25","4300","1","164 TOWNSEND TER"
"72","0.3","3400","1","168 TOWNSEND TER"
"78","0.25","3700","1","172 TOWNSEND TER"
"68","0.27","3200","1","176 TOWNSEND TER"
NA,"0.02",NA,NA,"400 BURR ST"
"58","0.23",NA,"1","393 BURR ST"
NA,"0.23",NA,NA,"15 HOLMES ST"
"40","0.11",NA,"1","25 HOLMES ST"
"58","0.1",NA,"1","437 BURR ST"
"60","0.13","2800","1","427 BURR ST"
"78","0.26",NA,"1","419 BURR ST"
"58","0.14",NA,"1","409 BURR ST"
"78","0.25",NA,"1","401 BURR ST"
"78","0.21",NA,"1","18 HOLMES ST"
NA,"0.01",NA,NA,"BURR ST"
NA,"0.14",NA,NA,"402 BURR ST"
"78","0.17","3700","1","404 BURR ST"
"71","0.17","3300","1","412 BURR ST"
"81","0.16","3800","1","416 BURR ST"
"71","0.15",NA,"1","420 BURR ST"
NA,"0.17",NA,NA,"434 BURR ST"
"76","0.26",NA,"1","440 BURR ST"
"81","0.89","3800","2","408 BURR ST"
NA,"1.89",NA,NA,"428 BURR ST"
NA,"0.17",NA,NA,"44 LAURA LA"
"86","0",NA,"1","675 TOWNSEND AV #116"
"86","0","4000","1","675 TOWNSEND AV #117"
"86","0","4000","1","675 TOWNSEND AV #118"
"86","0",NA,"1","675 TOWNSEND AV #119"
"86","0",NA,"1","675 TOWNSEND AV #120"
"86","0","4000","1","675 TOWNSEND AV #121"
"86","0",NA,"1","675 TOWNSEND AV #132"
"86","0",NA,"1","675 TOWNSEND AV #133"
"86","0",NA,"1","675 TOWNSEND AV #134"
"86","0",NA,"1","675 TOWNSEND AV #135"
"86","0",NA,"1","675 TOWNSEND AV #136"
"86","0",NA,"1","675 TOWNSEND AV #137"
"86","0",NA,"1","675 TOWNSEND AV #138"
"86","0",NA,"1","675 TOWNSEND AV #139"
"86","0",NA,"1","675 TOWNSEND AV #140"
"86","0",NA,"1","675 TOWNSEND AV #141"
"86","0",NA,"1","675 TOWNSEND AV #142"
"86","0",NA,"1","675 TOWNSEND AV #143"
"86","0",NA,"1","675 TOWNSEND AV #154"
"86","0",NA,"1","675 TOWNSEND AV #155"
"86","0",NA,"1","675 TOWNSEND AV #156"
"86","0",NA,"1","675 TOWNSEND AV #157"
"86","0",NA,"1","675 TOWNSEND AV #158"
"86","0",NA,"1","675 TOWNSEND AV #159"
"86","0",NA,"1","675 TOWNSEND AV #160"
"86","0",NA,"1","675 TOWNSEND AV #161"
"86","0",NA,"1","675 TOWNSEND AV #162"
"86","0",NA,"1","675 TOWNSEND AV #163"
"86","0",NA,"1","675 TOWNSEND AV #164"
"86","0",NA,"1","675 TOWNSEND AV #165"
"86","0",NA,"1","675 TOWNSEND AV #166"
"86","0",NA,"1","675 TOWNSEND AV #167"
"86","0",NA,"1","675 TOWNSEND AV #168"
"86","0",NA,"1","675 TOWNSEND AV #169"
"86","0",NA,"1","675 TOWNSEND AV #170"
"86","0",NA,"1","675 TOWNSEND AV #171"
"86","0",NA,"1","675 TOWNSEND AV #178"
"86","0",NA,"1","675 TOWNSEND AV #179"
"90","0",NA,"1","675 TOWNSEND AV #180"
"86","0",NA,"1","675 TOWNSEND AV #181"
"86","0",NA,"1","675 TOWNSEND AV #190"
"86","0",NA,"1","675 TOWNSEND AV #191"
"86","0",NA,"1","675 TOWNSEND AV #192"
"86","0",NA,"1","675 TOWNSEND AV #193"
"86","0",NA,"1","675 TOWNSEND AV #186"
"86","0",NA,"1","675 TOWNSEND AV #187"
"86","0",NA,"1","675 TOWNSEND AV #188"
"86","0",NA,"1","675 TOWNSEND AV #189"
"86","0",NA,"1","675 TOWNSEND AV #182"
"86","0",NA,"1","675 TOWNSEND AV #183"
"86","0",NA,"1","675 TOWNSEND AV #184"
"86","0",NA,"1","675 TOWNSEND AV #185"
"86","0",NA,"1","675 TOWNSEND AV #176"
"86","0",NA,"1","675 TOWNSEND AV #177"
"86","0",NA,"1","675 TOWNSEND AV #172"
"86","0",NA,"1","675 TOWNSEND AV #173"
"86","0",NA,"1","675 TOWNSEND AV #174"
"86","0",NA,"1","675 TOWNSEND AV #175"
"86","0",NA,"1","675 TOWNSEND AV #152"
"86","0",NA,"1","675 TOWNSEND AV #153"
"86","0",NA,"1","675 TOWNSEND AV #148"
"86","0",NA,"1","675 TOWNSEND AV #149"
"86","0",NA,"1","675 TOWNSEND AV #150"
"86","0",NA,"1","675 TOWNSEND AV #151"
"86","0",NA,"1","675 TOWNSEND AV #144"
"86","0",NA,"1","675 TOWNSEND AV #145"
"86","0",NA,"1","675 TOWNSEND AV #146"
"86","0",NA,"1","675 TOWNSEND AV #147"
"86","0",NA,"1","675 TOWNSEND AV #128"
"86","0",NA,"1","675 TOWNSEND AV #129"
"86","0",NA,"1","675 TOWNSEND AV #130"
"86","0",NA,"1","675 TOWNSEND AV #131"
"86","0",NA,"1","675 TOWNSEND AV #126"
"86","0",NA,"1","675 TOWNSEND AV #127"
"86","0","4000","1","675 TOWNSEND AV #122"
"86","0",NA,"1","675 TOWNSEND AV #123"
"86","0",NA,"1","675 TOWNSEND AV #124"
"86","0",NA,"1","675 TOWNSEND AV #125"
"86","0",NA,"1","675 TOWNSEND AV #112"
"86","0",NA,"1","675 TOWNSEND AV #113"
"86","0",NA,"1","675 TOWNSEND AV #114"
"86","0","4000","1","675 TOWNSEND AV #115"
"86","0",NA,"1","675 TOWNSEND AV #108"
"86","0",NA,"1","675 TOWNSEND AV #109"
"86","0",NA,"1","675 TOWNSEND AV #110"
"86","0","1800","1","675 TOWNSEND AV #111"
"86","0","4000","1","675 TOWNSEND AV #104"
"86","0",NA,"1","675 TOWNSEND AV #105"
"86","0",NA,"1","675 TOWNSEND AV #106"
"86","0",NA,"1","675 TOWNSEND AV #107"
"86","0",NA,"1","675 TOWNSEND AV #101"
"86","0",NA,"1","675 TOWNSEND AV #102"
"86","0",NA,"1","675 TOWNSEND AV #103"
NA,"0.1",NA,NA,"108 LAURA LA"
"68","0.13",NA,"1","102 LAURA LA"
"68","0.13",NA,"1","96 LAURA LA"
NA,"0.03",NA,NA,"LAURA LA"
NA,"0.07",NA,NA,"LAURA LA"
"78","0.08",NA,"1","86 LAURA LA"
"68","0.13",NA,"1","80 LAURA LA"
"68","0.1",NA,"1","76 LAURA LA"
"78","0.37",NA,"1","72 LAURA LA"
"68","0.09",NA,"1","68 LAURA LA"
"68","0.14",NA,"1","62 LAURA LA"
"68","0.14",NA,"1","56 LAURA LA"
"68","0.14",NA,"1","50 LAURA LA"
"78","0.09",NA,"1","46 LAURA LA"
"78","0.17",NA,"1","42 LAURA LA"
"78","0.14",NA,"1","38 LAURA LA"
"78","0.13",NA,"1","32 LAURA LA"
"78","0.16",NA,"1","24 LAURA LA"
"78","0.16",NA,"1","16 LAURA LA"
"78","0.13",NA,"1","10 LAURA LA"
"78","0.14",NA,"1","4 LAURA LA"
NA,"0.02",NA,NA,"115 LAURA LA"
"68","0.15",NA,"1","107 LAURA LA"
"68","0.15",NA,"1","101 LAURA LA"
"68","0.15",NA,"1","95 LAURA LA"
"68","0.15",NA,"1","87 LAURA LA"
"68","0.22",NA,"1","81 LAURA LA"
"78","0.14",NA,"1","35 LAURA LA"
"78","0.14",NA,"1","29 LAURA LA"
"68","0.14",NA,"1","23 LAURA LA"
"78","0.13",NA,"1","17 LAURA LA"
"78","0.13",NA,"1","11 LAURA LA"
"51","0.12",NA,"1","5 LAURA LA"
NA,"0.04",NA,NA,"159 HUNTINGTON RD"
NA,"0.04",NA,NA,"157 HUNTINGTON RD"
"82","0.32","3900","1","151 HUNTINGTON RD"
"82","0.41","3900","1","155 HUNTINGTON RD"
"68","0.35","3200","1","145 HUNTINGTON RD"
"68","0.34","3200","1","137 HUNTINGTON RD"
"68","0.34","3200","1","129 HUNTINGTON RD"
"78","0.34",NA,"1","123 HUNTINGTON RD"
"78","0.34",NA,"1","115 HUNTINGTON RD"
"68","0.2",NA,"1","107 HUNTINGTON RD"
"72","0.2",NA,"3","99 HUNTINGTON RD"
"72","0.2",NA,"2","91 HUNTINGTON RD"
"72","0.2",NA,"2","83 HUNTINGTON RD"
"83","0.2",NA,"3","75 HUNTINGTON RD"
"68","0.2","3200","1","65 HUNTINGTON RD"
"68","0.23",NA,"2","44 ELIZABETH ANN DR"
"72","0.18",NA,"2","52 ELIZABETH ANN DR"
"68","0.18",NA,"2","56 ELIZABETH ANN DR"
"72","0.17",NA,"3","60 ELIZABETH ANN DR"
"72","0.2",NA,"3","66 ELIZABETH ANN DR"
NA,"0.57",NA,NA,"CHARTER OAK AV"
NA,"0.56",NA,NA,"CHARTER OAK AV"
NA,"1.17",NA,NA,"CHARTER OAK AV"
NA,"0.56",NA,NA,"CHARTER OAK AV"
NA,"0.56",NA,NA,"CHARTER OAK AV"
NA,"0.56",NA,NA,"CHARTER OAK AV"
NA,"0.58",NA,NA,"125 HUNTINGTON RD"
NA,"0.56",NA,NA,"CHARTER OAK AV"
NA,"0.56",NA,NA,"CHARTER OAK AV"
"83","0.34",NA,"1","4 HUGHES ST EX"
"72","0.71",NA,"1","8 HUGHES ST EX"
"68","0.19",NA,"2","72 ELIZABETH ANN DR"
"71","0.19",NA,"2","78 ELIZABETH ANN DR"
"68","0.19",NA,"2","84 ELIZABETH ANN DR"
"68","0.22",NA,"4","88 ELIZABETH ANN DR"
"72","0.22",NA,"3","94 ELIZABETH ANN DR"
"68","0.16",NA,"2","100 ELIZABETH ANN DR"
"78","0.19",NA,"2","104 ELIZABETH ANN DR"
"83","0.2",NA,"2","110 ELIZABETH ANN DR"
"72","0.2",NA,"2","118 ELIZABETH ANN DR"
"72","0.22","3400","2","124 ELIZABETH ANN DR"
"72","0.2",NA,"2","132 ELIZABETH ANN DR"
"83","0.2",NA,"3","138 ELIZABETH ANN DR"
"83","0.31",NA,"2","146 ELIZABETH ANN DR"
"78","0.28",NA,"1","5 MASSACHUSETTS AV"
"82","0.12",NA,"1","11 MASSACHUSETTS AV"
NA,"0.04",NA,NA,"MASSACHUSETTS AV"
"76","0.19",NA,"2","75 ELIZABETH ANN DR"
"78","0.17",NA,"2","55 ELIZABETH ANN DR"
"68","0.17",NA,"2","49 ELIZABETH ANN DR"
"78","0.17",NA,"2","41 ELIZABETH ANN DR"
"72","0.17",NA,"2","35 ELIZABETH ANN DR"
"68","0.18",NA,"2","29 ELIZABETH ANN DR"
"78","0.17",NA,"2","21 ELIZABETH ANN DR"
"72","0.18",NA,"2","15 ELIZABETH ANN DR"
"83","0.18",NA,"2","7 ELIZABETH ANN DR"
NA,"0.08",NA,NA,"CLARENDON ST"
"68","0.33",NA,"2","147 ELIZABETH ANN DR"
"72","0.21",NA,"2","141 ELIZABETH ANN DR"
"72","0.17",NA,"2","131 ELIZABETH ANN DR"
"72","0.17",NA,"2","125 ELIZABETH ANN DR"
"72","0.16",NA,"2","117 ELIZABETH ANN DR"
"78","0.17",NA,"2","103 ELIZABETH ANN DR"
"68","0.18",NA,"2","109 ELIZABETH ANN DR"
"68","0.19",NA,"2","83 ELIZABETH ANN DR"
"68","0.2",NA,"1","53 HUNTINGTON RD"
"82","0.25",NA,"3","41 HUNTINGTON RD"
"68","0.07",NA,"1","37 HUNTINGTON RD"
"68","0.18",NA,"1","29 HUNTINGTON RD"
"68","0.26","3200","2","23 HUNTINGTON RD"
NA,NA,NA,NA,NA
"66","0.21",NA,"1","87 CLARENDON ST"
"78","0.26",NA,"1","95 CLARENDON ST"
"68","0.24",NA,"1","105 CLARENDON ST"
"68","0.13",NA,"2","8 ELIZABETH ANN DR"
"76","0.16",NA,"2","18 ELIZABETH ANN DR"
"68","0.17",NA,"2","28 ELIZABETH ANN DR"
"72","0.18",NA,"2","32 ELIZABETH ANN DR"
"78","0.42","3700","1","821 TOWNSEND AV"
"68","0.16","3200","1","29 SOUND VIEW TER"
"78","0.16","3700","1","39 SOUND VIEW TER"
"68","0.16","3200","1","49 SOUND VIEW TER"
"78","0.16","3700","1","59 SOUND VIEW TER"
"78","0.18","3700","1","75 SOUND VIEW TER"
"78","0.17","3700","1","85 SOUND VIEW TER"
"78","0.18","3700","1","95 SOUND VIEW TER"
"68","0.15","3200","1","105 SOUND VIEW TER"
"68","0.17","3200","1","115 SOUND VIEW TER"
"68","0.16","3200","1","125 SOUND VIEW TER"
"78","0.16","3700","1","135 SOUND VIEW TER"
"78","0.19","3700","1","145 SOUND VIEW TER"
"68","0.48","3200","1","4 HORSLEY AV"
"68","0.41","3200","1","2 HORSLEY AV"
NA,"0",NA,NA,"HORSLEY AV"
NA,"0",NA,NA,"TUTTLE DR"
"78","0.21",NA,"1","174 TUTTLE DR"
"78","0.22","3700","1","168 TUTTLE DR"
"78","0.29","3700","1","160 TUTTLE DR"
"78","0.28","3700","1","150 TUTTLE DR"
"78","0.28","3700","1","144 TUTTLE DR"
"68","0.28","3200","1","136 TUTTLE DR"
"78","0.29","3700","1","128 TUTTLE DR"
"78","0.28","3700","2","120 TUTTLE DR"
"78","0.29","7300","1","112 TUTTLE DR"
"78","0.35","3700","1","104 TUTTLE DR"
"78","0.31","3700","1","785 TOWNSEND AV"
"78","0.3","3700","1","795 TOWNSEND AV"
"68","0.45","3200","1","801 TOWNSEND AV"
NA,"0.38",NA,NA,"TOWNSEND AV"
"68","0.85","3200","1","809 TOWNSEND AV"
"78","0.24","3700","1","91 HORSLEY AV"
"68","0.19","3200","1","265 UPSON TER"
"78","0.19","3700","1","285 UPSON TER"
"76","0.23","3600","1","40 HOPKINS DR"
"68","0.23","3200","1","30 HOPKINS DR"
"68","0.23","3200","1","22 HOPKINS DR"
"68","0.23","3200","1","14 HOPKINS DR"
"78","0.23",NA,"1","8 HOPKINS DR"
"78","0.3","3700","1","4 HOPKINS DR"
NA,"0",NA,NA,"HORSLEY AV"
"66","0.22","3100","1","1 HORSLEY AV"
"78","0.25","3700","1","5 HORSLEY AV"
"68","0.42","3200","1","11 HORSLEY AV"
"78","0.2","3700","1","35 HORSLEY AV"
"68","0.19",NA,"1","45 HORSLEY AV"
"68","0.17","3200","1","61 HORSLEY AV"
"68","0.2","3200","1","75 HORSLEY AV"
"78","0.36","3300","1","305 UPSON TER"
"68","0.38","3200","1","335 UPSON TER"
"68","0.27","3200","1","112 HUNTINGTON RD"
"78","0.28",NA,"1","120 HUNTINGTON RD"
"68","0.29",NA,"1","128 HUNTINGTON RD"
"78","0.3",NA,"1","136 HUNTINGTON RD"
"68","0.32","3200","1","144 HUNTINGTON RD"
"78","0.29","3700","1","150 HUNTINGTON RD"
"90","0.38",NA,"1","160 HUNTINGTON RD"
NA,"0.08",NA,NA,"HOPKINS DR"
"90","0.48","4200","1","3 HOPKINS DR"
"68","0.3","3200","1","5 HOPKINS DR"
"78","0.28","3700","1","15 HOPKINS DR"
"68","0.27","3200","1","19 HOPKINS DR"
"68","0.39","3200","1","25 HOPKINS DR"
"78","0.23","3700","1","39 HOPKINS DR"
"68","0.44",NA,"2","873 TOWNSEND AV"
"78","0.17","3700","1","131 UPSON TER"
"68","0.18","3200","1","20 LEROY TER"
"68","0.21",NA,"1","16 LEROY TER"
"73","0.18","3400","1","60 SOUND VIEW TER"
"78","0.14","3700","1","44 SOUND VIEW TER"
"68","0.14","3200","1","30 SOUND VIEW TER"
"68","0.27","3200","1","835 TOWNSEND AV"
"68","0.31","3200","1","845 TOWNSEND AV"
"78","0.24","3700","2","853 TOWNSEND AV"
NA,"0",NA,NA,"LEROY TER"
"68","0.16","3200","1","155 UPSON TER"
"68","0.13","3200","1","165 UPSON TER"
"68","0.17","3200","1","175 UPSON TER"
"78","0.17","3700","1","185 UPSON TER"
"78","0.17","3700","1","195 UPSON TER"
"68","0.14","3200","1","205 UPSON TER"
"68","0.15","3200","1","215 UPSON TER"
"78","0.17","3700","1","140 SOUND VIEW TER"
"68","0.12",NA,"1","70 HORSLEY AV"
"78","0.12","3700","1","136 SOUND VIEW TER"
"78","0.17","7300","1","126 SOUND VIEW TER"
"78","0.17","3700","1","114 SOUND VIEW TER"
"90","0.17","4200","1","104 SOUND VIEW TER"
"90","0.13","4200","1","92 SOUND VIEW TER"
"78","0.15","3700","1","80 SOUND VIEW TER"
"78","0.12","3700","1","15 LEROY TER"
"72","0.31",NA,"1","773 TOWNSEND AV"
"78","0.29","3700","1","105 TUTTLE DR"
"78","0.29","7300","1","115 TUTTLE DR"
"78","0.29","3700","1","123 TUTTLE DR"
"68","0.29","3200","1","129 TUTTLE DR"
"78","0.28","3700","1","139 TUTTLE DR"
"78","0.28","3700","1","147 TUTTLE DR"
"78","0.28","3700","1","155 TUTTLE DR"
"78","0.72","3700","1","167 TUTTLE DR"
NA,"0.01",NA,NA,"171 TUTTLE DR"
"78","0.15","3700","1","110 TOWNSEND TER"
"78","0.15",NA,"1","102 TOWNSEND TER"
"68","0.15",NA,"1","96 TOWNSEND TER"
"78","0.15",NA,"1","90 TOWNSEND TER"
"78","0.14",NA,"1","84 TOWNSEND TER"
"68","0.15",NA,"1","80 TOWNSEND TER"
"78","0.16",NA,"1","72 TOWNSEND TER"
"78","0.17","3700","1","66 TOWNSEND TER"
"78","0.15",NA,"1","60 TOWNSEND TER"
"90","0.16",NA,"1","52 TOWNSEND TER"
"68","0.18",NA,"1","46 TOWNSEND TER"
"68","0.17",NA,"1","38 TOWNSEND TER"
