"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"1",1,"51 SOUTH END RD",NA,1256500,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,3.8,"No Data for Extra Features"
"2",2,"75 SOUTH END RD",NA,562100,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,1.7,"No Data for Extra Features"
"3",3,"199 SOUTH END RD","1950",208100,"3","2","1",73,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.25,"3400"
"4",4,"11 URIAH ST","1989",202900,"3","2","1",77,"Colonial","Single Family","Average",1,"None","Average","Average",0.18,"No Data for Extra Features"
"5",5,"181 SOUTH END RD","1945",164300,"3","1","0",73,"Ranch","Single Family","Average",1,"None","Average","Average",0.36,"No Data for Extra Features"
"6",6,"169 SOUTH END RD","1940",150400,"3","1","0",63,"Bungalow","Single Family","Average",1,"None","Average","Average",0.32,"No Data for Extra Features"
"7",7,"173 SOUTH END RD","1986",184700,"5","2","0",77,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.35,"No Data for Extra Features"
"8",8,"165 SOUTH END RD","1940",135800,"3","1","1",63,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.17,"No Data for Extra Features"
"9",9,"161 SOUTH END RD","1930",137100,"2","1","0",63,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.14,"No Data for Extra Features"
"10",10,"157 SOUTH END RD","1900",133600,"1","1","0",63,"Ranch","Single Family","Average",1,"Central","Average","Average",0.2,"No Data for Extra Features"
"11",11,"153 SOUTH END RD",NA,59300,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.24,"No Data for Extra Features"
"12",12,"SOUTH END RD",NA,211700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.09,"No Data for Extra Features"
"13",13,"107 SOUTH END RD",NA,63300,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.43,"No Data for Extra Features"
"14",14,"101 SOUTH END RD",NA,55700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.14,"No Data for Extra Features"
"15",15,"95 SOUTH END RD",NA,59900,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.26,"No Data for Extra Features"
"16",16,"SOUTH END RD",NA,2700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.03,"No Data for Extra Features"
"17",17,"91 SOUTH END RD",NA,63400,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.43,"No Data for Extra Features"
"18",18,"103 SOUTH END RD",NA,60700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.29,"No Data for Extra Features"
"19",19,"SOUTH END RD",NA,70200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.99,"No Data for Extra Features"
"20",20,"URIAH ST",NA,2661800,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,8.05,"No Data for Extra Features"
"21",21,"SOUTH END RD",NA,359400,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,1,"No Data for Extra Features"
"22",22,"SOUTH END RD",NA,826700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,2.5,"No Data for Extra Features"
"23",23,"5 DOUGLASS AV","1940",185100,"2","1","1",68,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.16,"3200"
"24",24,"11 DOUGLASS AV","1940",249900,"3","2","0",75,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.13,"3500"
"25",25,"17 DOUGLASS AV","1940",129600,"2","1","0",65,"Bungalow","Single Family","Average",1,"None","Average","Average",0.13,"No Data for Extra Features"
"26",26,"23 DOUGLASS AV","1925",128900,"2","1","0",65,"Bungalow","Single Family","Average",1,"None","Average","Average",0.13,"No Data for Extra Features"
