"pid","location","city","state","zip"
7001,"1555 STATE ST","New Haven","CT",""
7002,"1563 STATE ST","New Haven","CT",""
7003,"1573 STATE ST","New Haven","CT",""
7004,"STATE ST","New Haven","CT",""
7005,"1579 STATE ST","New Haven","CT",""
7006,"1585 STATE ST","New Haven","CT",""
7007,"CLINTON AV","New Haven","CT",""
7008,"1410 STATE ST #1","New Haven","CT",""
7009,"1410 STATE ST #2","New Haven","CT",""
7010,"1410 STATE ST #3","New Haven","CT",""
7011,"1410 STATE ST #4","New Haven","CT",""
7012,"1410 STATE ST #5","New Haven","CT",""
7013,NA,"New Haven","CT",""
7014,"1410 STATE ST #7","New Haven","CT",""
7015,"1410 STATE ST #8","New Haven","CT",""
7016,"1412 STATE ST","New Haven","CT",""
7017,"1414 STATE ST","New Haven","CT",""
7018,"1416 STATE ST","New Haven","CT",""
7019,"1418 STATE ST","New Haven","CT",""
7020,"385 CLINTON AV","New Haven","CT",""
7021,"1425 STATE ST","New Haven","CT",""
7022,"1439 STATE ST","New Haven","CT",""
7023,"1447 STATE ST","New Haven","CT",""
7024,"1455 STATE ST","New Haven","CT",""
7025,"1465 STATE ST","New Haven","CT",""
7026,"1469 STATE ST","New Haven","CT",""
7027,"1473 STATE ST","New Haven","CT",""
7028,"1493 STATE ST","New Haven","CT",""
7029,"1495 STATE ST","New Haven","CT",""
7030,"1503 STATE ST","New Haven","CT",""
7031,"STATE ST","New Haven","CT",""
7032,"1515 STATE ST","New Haven","CT",""
7033,"LYMAN ST","New Haven","CT",""
7034,"10 LYMAN ST","New Haven","CT",""
7035,"CLINTON AV","New Haven","CT",""
7036,"1529 STATE ST","New Haven","CT",""
7037,"9 LYMAN ST","New Haven","CT",""
7038,"5 LYMAN ST","New Haven","CT",""
7039,"1 LYMAN ST","New Haven","CT",""
7040,"1533 STATE ST","New Haven","CT",""
7041,"CLINTON AV","New Haven","CT",""
7042,NA,"New Haven","CT",""
7043,"4 MIDDLETOWN AV","New Haven","CT",""
7044,"MIDDLETOWN AV","New Haven","CT",""
7045,"MIDDLETOWN AV","New Haven","CT",""
7046,"MIDDLETOWN AV","New Haven","CT",""
7047,"8 MIDDLETOWN AV","New Haven","CT",""
7048,"34 MIDDLETOWN AV","New Haven","CT",""
7049,"42 MIDDLETOWN AV","New Haven","CT",""
7050,"FAWN ST","New Haven","CT",""
7051,"46 MIDDLETOWN AV","New Haven","CT",""
7052,"58 MIDDLETOWN AV","New Haven","CT",""
7053,"CLINTON AV","New Haven","CT",""
7054,"72 MIDDLETOWN AV","New Haven","CT",""
7055,"1331 STATE ST","New Haven","CT",""
7056,"1345 STATE ST","New Haven","CT",""
7057,"1351 STATE ST","New Haven","CT",""
7058,"1355 STATE ST","New Haven","CT",""
7059,"1359 STATE ST","New Haven","CT",""
7060,"1361 STATE ST","New Haven","CT",""
7061,"1365 STATE ST","New Haven","CT",""
7062,"1375 STATE ST","New Haven","CT",""
7063,"1395 STATE ST","New Haven","CT",""
7064,"1397 STATE ST","New Haven","CT",""
7065,"STATE ST","New Haven","CT",""
7066,"1415 STATE ST","New Haven","CT",""
7067,"200 DOVER ST","New Haven","CT",""
7068,"196 DOVER ST","New Haven","CT",""
7069,"194 DOVER ST","New Haven","CT",""
7070,"190 DOVER ST","New Haven","CT",""
7071,"184 DOVER ST","New Haven","CT",""
7072,"180 DOVER ST","New Haven","CT",""
7073,"176 DOVER ST","New Haven","CT",""
7074,"172 DOVER ST","New Haven","CT",""
7075,"168 DOVER ST","New Haven","CT",""
7076,"164 DOVER ST","New Haven","CT",""
7077,"160 DOVER ST","New Haven","CT",""
7078,"222 ATWATER ST","New Haven","CT",""
7079,"218 ATWATER ST","New Haven","CT",""
7080,"155 ENGLISH ST","New Haven","CT",""
7081,"159 ENGLISH ST","New Haven","CT",""
7082,"163 ENGLISH ST","New Haven","CT",""
7083,"167 ENGLISH ST","New Haven","CT",""
7084,"171 ENGLISH ST","New Haven","CT",""
