pid,latitude,longitude
2103,41.2705021,-72.8978932
2104,41.2705502,-72.8980948
2105,41.2705721,-72.8983087
2106,41.2710075,-72.8983643
2107,41.2706142,-72.8986159
2108,41.2706573,-72.8988623
2109,41.2710439,-72.8989086
2110,41.2707269,-72.8991444
2111,41.270731,-72.899339
2112,41.2707669,-72.8995161
2113,41.2708019,-72.899702
2114,41.2708252,-72.8998888
2115,41.2708243,-72.9000744
2116,41.2708818,-72.9002338
2117,41.2708615,-72.9004752
2118,41.2710088,-72.9004877
2119,41.2711502,-72.9004913
2120,41.2712807,-72.9004841
2121,41.2714274,-72.9004751
2122,41.267729,-72.899359
2123,41.2673242,-72.8971047
2124,41.2671881,-72.8970653
2125,41.2670234,-72.8970645
2126,41.2668948,-72.8970232
2127,41.2667362,-72.8969824
2128,41.2665739,-72.8968857
2129,41.2664544,-72.8969018
2130,41.2663127,-72.8968616
2131,41.2661367,-72.8968474
2132,41.2659928,-72.8967933
2133,41.2658277,-72.8967746
2134,41.2656211,-72.8966593
2135,41.2741667,-72.896459
2136,41.2889299,-72.8947442
2137,41.2805178,-72.8977366
2138,41.2805178,-72.8977366
2139,41.2721889,-72.9009586
2140,41.2720278,-72.9009562
2141,41.271894,-72.900955
2142,41.2717646,-72.9009724
2143,41.271607,-72.9009754
2144,41.2714865,-72.9009908
2145,41.271345,-72.901007
2146,41.2712094,-72.9010386
2147,41.2710676,-72.9010229
2148,41.2709368,-72.9010425
2149,41.2707955,-72.9010503
2150,41.2581,-72.89062
2151,41.2705299,-72.9010798
2152,41.2703799,-72.9010845
2153,41.2805178,-72.8977366
2154,41.278013,-72.901372
2155,41.2894683,-72.9030822
2156,41.2914167,-72.9026013
2157,41.2865096,-72.9015557
2158,41.283825,-72.899372
2159,41.2890261,-72.9017415
2160,41.2890261,-72.9017415
2161,41.2890261,-72.9017415
2162,41.28104,-72.8978183
2163,41.2812196,-72.8977425
2164,41.2813545,-72.8976502
2165,41.2814883,-72.897591
2166,41.2816109,-72.8975571
2167,41.281813,-72.897917
2168,41.2818711,-72.8975759
2169,41.2819701,-72.8973733
2170,41.2823769,-72.8976799
2171,40.706992,-73.909781
2172,40.70715,-73.910082
2173,41.8523159,-71.3135421
2174,41.8523159,-71.3135421
2175,41.2823619,-72.8971442
2176,41.2823619,-72.8971442
2177,41.2823619,-72.8971442
2178,42.3300782,-83.0450736
2179,42.3300782,-83.0450736
2180,40.7072502,-73.9100456
2181,40.7072502,-73.9100456
2182,34.7554502,-87.6682525
2183,34.7554502,-87.6682525
2184,40.7072005,-73.9098031
2185,41.2825515,-72.8970703
2186,40.7070157,-73.9096282
2187,40.7070157,-73.9096282
2188,40.7070952,-73.9096502
2189,40.7070952,-73.9096502
2190,40.4707472,-80.0694638
2191,40.4707472,-80.0694638
2192,40.707038,-73.909849
2193,40.707038,-73.909849
2194,40.707038,-73.909849
2195,41.283003,-72.897136
2196,41.2831419,-72.8969323
2197,41.2832428,-72.8968875
2198,42.296569,-85.5957184
2199,41.2834437,-72.8967181
2200,40.4712202,-80.0700848
2201,41.2835229,-72.8966873
2202,41.2835638,-72.8966722
2203,40.4713232,-80.0702762
2204,41.2837965,-72.8967233
2205,41.2838769,-72.897222
2206,41.2805178,-72.8977366
2207,41.2845934,-72.8964208
2208,41.284776,-72.896492
2209,41.2849258,-72.8963077
2210,41.2850329,-72.896253
2211,41.28371,-72.89695
2212,41.2811031,-72.8972558
2213,41.2812977,-72.8971193
2214,41.2814166,-72.8970755
2215,41.2815803,-72.8970576
2216,41.28176,-72.8969096
2217,41.2819205,-72.8966235
2218,41.2821353,-72.8968211
2219,41.2823661,-72.8967374
2220,41.2825271,-72.8960423
2221,41.2825719,-72.8967383
2222,40.7073034,-73.9095867
2223,40.7073034,-73.9095867
2224,40.7073034,-73.9095867
2225,40.7073034,-73.9095867
2226,40.7073034,-73.9095867
2227,42.329664,-83.045743
2228,42.329664,-83.045743
2229,42.329664,-83.045743
2230,42.329664,-83.045743
2231,42.329664,-83.045743
2232,42.329664,-83.045743
2233,42.329664,-83.045743
2234,42.329664,-83.045743
2235,42.329664,-83.045743
2236,40.707279,-73.9093415
2237,40.707279,-73.9093415
2238,40.707279,-73.9093415
2239,40.707279,-73.9093415
2240,40.707279,-73.9093415
2241,40.5865522,-79.5596495
2242,40.5865522,-79.5596495
2243,40.5865522,-79.5596495
2244,32.3649378,-90.1806458
2245,41.2830135,-72.8959935
2246,41.2830135,-72.8959935
2247,40.586744,-79.5599081
2248,40.586744,-79.5599081
2249,40.4706742,-80.070015
2250,40.4706742,-80.070015
2251,40.4706742,-80.070015
2252,40.4706742,-80.070015
2253,41.2830036,-72.8959797
2254,41.2830036,-72.8959797
2255,41.2830036,-72.8959797
2256,30.358162,-89.1159048
2257,41.2830068,-72.8959779
2258,41.2830068,-72.8959779
2259,41.2830068,-72.8959779
2260,41.2830068,-72.8959779
2261,41.2830052,-72.8959893
2262,41.2830052,-72.8959893
2263,41.2830052,-72.8959893
2264,41.2830052,-72.8959893
2265,41.2833806,-72.8957683
2266,41.2835269,-72.8962494
2267,41.2836699,-72.896119
2268,41.2838187,-72.8960105
2269,41.283931,-72.895998
2270,41.2840953,-72.8960333
2271,41.2805178,-72.8977366
2272,41.284554,-72.895766
2273,41.2847093,-72.8958125
2274,41.2848486,-72.8958039
2275,41.3085704,-72.9335755
2276,41.2848637,-72.8950985
2277,41.2847104,-72.8951141
2278,41.2845266,-72.8951822
2279,41.2843512,-72.8952402
2280,41.2841901,-72.8953275
2281,41.2840351,-72.8955138
2282,41.2838254,-72.8954279
2283,41.2852429,-72.8947372
2284,41.2839973,-72.8948758
2285,41.2741667,-72.896459
2286,41.2841619,-72.8948137
2287,41.284319,-72.8947488
2288,41.284483,-72.8947146
2289,41.2846386,-72.894671
2290,41.2848015,-72.894621
2291,41.2847072,-72.8938739
2292,41.2845002,-72.8939282
2293,41.2843373,-72.8939219
2294,41.2842138,-72.8939882
2295,41.2840463,-72.8940008
2296,41.2838777,-72.8940543
2297,41.2837457,-72.894092
2298,41.2835705,-72.8942159
2299,41.2833256,-72.8942254
2300,41.283264,-72.894625
2301,41.283138,-72.894678
2302,41.2829546,-72.8943933
2303,41.2828043,-72.8944729
2304,41.2826571,-72.8944937
2305,41.2824942,-72.8945781
2306,41.282328,-72.8946527
2307,41.2824207,-72.8951818
2308,41.2821317,-72.8947752
2309,41.2819842,-72.8947892
2310,41.2818571,-72.894804
2311,41.281703,-72.8948727
2312,41.281482,-72.8949218
2313,41.2813166,-72.8949967
2314,41.281121,-72.8950541
2315,41.2809315,-72.8951089
2316,41.2807884,-72.8952161
2317,41.2807766,-72.8956716
2318,41.2808314,-72.8958861
2319,41.2812111,-72.8958222
2320,41.2813662,-72.8957881
2321,41.2815418,-72.8957326
2322,41.2816884,-72.8956399
2323,41.2818544,-72.8955932
2324,41.2820107,-72.8955004
2325,41.2821705,-72.8954377
2326,41.277334,-72.8974212
2327,41.277334,-72.8974212
2328,41.2822766,-72.8960944
2329,41.2821084,-72.8960847
2330,41.2819514,-72.8960842
2331,41.2817805,-72.8961929
2332,41.2815972,-72.8962741
2333,41.28133,-72.8963119
2334,41.2809079,-72.896367
2335,41.2809585,-72.8965589
2336,41.308274,-72.9278835
2337,41.2810405,-72.8969198
2338,41.2810816,-72.8970929
2339,41.2741667,-72.896459
2340,41.2854764,-72.8910278
2341,41.282202,-72.8904159
2342,41.2802754,-72.8900415
2343,41.2818957,-72.89036
2344,41.2816739,-72.8903354
2345,41.2815341,-72.8903281
2346,41.2813834,-72.890329
2347,41.2811189,-72.89045
2348,41.2809627,-72.8903223
2349,41.280597,-72.890502
2350,41.280597,-72.890502
2351,41.280597,-72.890502
2352,41.280597,-72.890502
2353,41.698825,-72.087476
2354,41.698825,-72.087476
2355,41.698825,-72.087476
2356,41.698825,-72.087476
2357,41.925963,-70.7041522
2358,41.925963,-70.7041522
2359,41.925963,-70.7041522
2360,41.925963,-70.7041522
2361,41.280063,-72.8902517
2362,41.2800895,-72.8905087
2363,41.2801161,-72.8907311
2364,41.2801366,-72.8910013
2365,41.2801658,-72.8912512
2366,41.2801937,-72.8914642
2367,41.2802102,-72.8917068
2368,41.280238,-72.8919355
2369,41.2802955,-72.8922034
2370,41.2803204,-72.8924059
2371,41.2803251,-72.892603
2372,41.2803621,-72.8927651
2373,41.2803648,-72.8929446
2374,41.2803712,-72.8931426
2375,41.2804027,-72.8933146
2376,41.308274,-72.9278835
2377,41.2804481,-72.8936962
2378,41.2804918,-72.893879
2379,41.2805177,-72.8940591
2380,41.2805529,-72.8944283
2381,41.281086,-72.8927549
2382,41.2826228,-72.8882779
2383,41.2837958,-72.8875892
2384,41.2835978,-72.887659
2385,41.2834755,-72.8877718
2386,41.2833135,-72.8879524
2387,41.2831908,-72.8880363
2388,41.28307,-72.888145
2389,41.2829604,-72.8882484
2390,41.2827433,-72.8883587
2391,41.2825816,-72.888537
2392,41.2823976,-72.8886837
2393,41.2822391,-72.8888291
2394,41.282044,-72.8889526
2395,41.282119,-72.88904
2396,41.2821974,-72.8893359
2397,41.2824107,-72.8892123
2398,41.2825895,-72.8890173
2399,41.282758,-72.888848
2400,41.2829585,-72.888758
2401,41.283194,-72.8886085
2402,41.283328,-72.888449
2403,41.2834577,-72.8883651
2404,41.2836058,-72.888248
2405,41.2837578,-72.8881308
2406,41.2839036,-72.8880195
2407,41.2840766,-72.8878842
2408,41.284196,-72.8876949
2409,41.2843534,-72.8876854
2410,41.2819407,-72.8877849
2411,41.2826,-72.887597
2412,41.2823019,-72.8876845
2413,41.2821904,-72.8878409
2414,41.2819748,-72.8880074
2415,41.2818221,-72.8880896
2416,41.28173,-72.888243
2417,41.281852,-72.888553
2418,41.2820244,-72.8885251
2419,41.2822661,-72.8882869
2420,41.2824078,-72.8881587
2421,41.2825437,-72.8880485
2422,41.2827707,-72.8878354
2423,41.282871,-72.887725
2424,41.2830089,-72.8876831
2425,41.2823592,-72.8897307
2426,41.2824342,-72.8898625
2427,41.2825599,-72.8899954
2428,41.282684,-72.8899974
2429,41.2827944,-72.8899841
2430,41.2829141,-72.8899666
2431,41.28477,-72.8900515
2432,41.2831643,-72.8899338
2433,41.2833079,-72.8899263
2434,41.2834766,-72.889929
2435,41.2837132,-72.8898648
2436,41.2838568,-72.8898672
2437,41.2840928,-72.8898674
2438,41.2842685,-72.8898381
2439,41.2844031,-72.8898242
2440,41.2846112,-72.8898135
2441,41.2847956,-72.8897434
2442,41.2850225,-72.8897569
2443,41.28477,-72.8900515
2444,41.2851695,-72.8897722
2445,41.2855871,-72.8897235
2446,41.2854222,-72.8897104
2447,41.2857022,-72.8897066
2448,41.2858373,-72.8896896
2449,41.2859503,-72.8896623
2450,41.28612,-72.8896701
2451,41.286243,-72.889535
2452,41.28638,-72.889526
2453,41.2865318,-72.8895969
2454,41.27894,-72.89266
2455,41.2868121,-72.889584
2456,41.2869486,-72.8895532
2457,41.2870825,-72.8895476
2458,41.2863407,-72.8888685
2459,41.2890115,-72.8939612
2460,41.3970411,-73.057221
2461,41.285773,-72.888209
2462,41.3980342,-73.0513492
2463,41.3121298,-73.0757513
2464,41.223097,-73.0531692
2465,41.2233772,-73.0533468
2466,41.3978237,-73.0547146
2467,41.3135357,-73.0766924
2468,41.3968864,-73.0590621
2469,41.2229206,-73.0548979
2470,41.2228887,-73.0549943
2471,41.2848402,-72.8885782
2472,40.8525869,-74.0773541
2473,40.8525869,-74.0773541
2474,40.8525869,-74.0773541
2475,40.8525869,-74.0773541
2476,40.8525869,-74.0773541
2477,40.8525869,-74.0773541
2478,40.8525869,-74.0773541
2479,41.3144875,-73.0785838
2480,41.2228925,-73.0555988
2481,41.3974285,-73.0664577
2482,41.2225711,-73.0565894
2483,41.308274,-72.9278835
2484,41.3974347,-73.0699967
2485,41.2832714,-72.8889695
2486,41.283094,-72.8891581
2487,41.282903,-72.8892764
2488,41.2827391,-72.8894613
2489,41.2825964,-72.8895536
2490,41.2221771,-73.056145
2491,41.2221889,-73.0561098
2492,41.2227361,-73.0554702
2493,41.2225804,-73.0547258
2494,41.3973894,-73.058798
2495,41.3976725,-73.0575342
2496,41.2228692,-73.0541425
2497,41.2229255,-73.0537369
2498,41.2229189,-73.0535065
2499,41.2228998,-73.0532793
2500,41.222863,-73.0527952
